"","Identifiers","c_1","c_2","c_3","c_4","n_5","n_6","n_7","n_8","r_1","r_2","r_3","r_4","C_mean","N_mean","R_mean","C_sd","N_sd","R_sd","ANOVA_p","ANOVA_padj","hclust_clusters","Z_scores_c_1","Z_scores_c_2","Z_scores_c_3","Z_scores_c_4","Z_scores_n_5","Z_scores_n_6","Z_scores_n_7","Z_scores_n_8","Z_scores_r_1","Z_scores_r_2","Z_scores_r_3","Z_scores_r_4","N_vs_C_Ttest_p","N_vs_C_Ttest_padj","log(N/C)","R_vs_C_Ttest_p","R_vs_C_Ttest_padj","log(R/C)","R_vs_N_Ttest_p","R_vs_N_Ttest_padj","log(R/N)","missing_data_c_1","missing_data_c_2","missing_data_c_3","missing_data_c_4","missing_data_n_5","missing_data_n_6","missing_data_n_7","missing_data_n_8","missing_data_r_1","missing_data_r_2","missing_data_r_3","missing_data_r_4","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1","1433B_MOUSE",3.33340007014127,3.44313399916974,3.39526929132788,3.98409916347072,3.24132683517664,3.51773025920196,3.53654843759114,3.6245788708731,3.47921621135124,3.45380741295611,3.41956070672128,3.26664760300532,3.5389756310274,3.48004610071071,3.40480798350849,0.300129639120296,0.165820404114497,0.0952950891352159,0.664124061429771,0.856170127601183,NA,-0.726003618588615,-0.161827408128902,-0.407914737034954,2.61944251529526,-1.19938071578193,0.221695132912407,0.31844523258859,0.771037030712021,0.0236824511624885,-0.106952072888686,-0.283025026034143,-1.06919878421355,0.745968873654491,0.911636321577759,-0.0589295303166919,0.447114381744106,0.854946256108918,-0.134167647518916,0.468546240610178,0.861413406092024,-0.0752381172022245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q9CQV8|1433B_MOUSE","sp|Q9CQV8|1433B_MOUSE","25","17","15","14-3-3 protein beta/alpha",1,25,17,15
"2","1433E_MOUSE",3.72802290724151,3.31403763942565,3.6081209921568,3.82294498392479,3.85862785727726,3.68153427428987,3.38760426915573,3.78188764560153,3.10328552409173,3.37768660984597,3.46785720383247,3.83331332032951,3.61828163068719,3.6774135115811,3.44553566452492,0.221056463927455,0.206365259871807,0.301445635953223,0.420434114195148,0.795466368315593,NA,0.601212938556397,-1.08491165234202,0.112863271944417,0.987821980368973,1.13315509946991,0.411868936943551,-0.785281416435686,0.820599151042426,-1.94328597595787,-0.825675146711574,-0.458418464611018,1.03005127773249,0.709317116318042,0.897393954905116,0.0591318808939105,0.394085426035493,0.844326366312773,-0.172745966162266,0.25711121627037,0.848403079736876,-0.231877847056176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P62259|1433E_MOUSE","sp|P62259|1433E_MOUSE","23","20","20","14-3-3 protein epsilon",1,23,20,20
"3","1433F_MOUSE",2.1913606066845,2.4224470249984,2.31185328314024,2.22491763558244,2.45745243322487,2.40107303819352,2.63533661037061,2.62838455515201,2.19069578058151,2.50963982115459,2.43089226031382,2.41769392492658,2.2876446376014,2.53056165923525,2.38723044674413,0.1032198843225,0.119246762720676,0.137166938939841,0.0543469022711753,0.733765936077016,NA,-1.39497467346369,0.136777225111976,-0.596291274966255,-1.17254255001819,0.368809903200684,-0.00489983712037097,1.54791176499611,1.50183020010885,-1.39938146055617,0.714733004723996,0.192756305677088,0.105271392305972,0.0222254910704462,0.790992442281521,0.242917021633856,0.29323598983745,0.844326366312773,0.0995858091427282,0.166774565496762,0.848403079736876,-0.143331212491128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P68510|1433F_MOUSE","sp|P68510|1433F_MOUSE","20","13","13","14-3-3 protein eta",1,20,13,13
"4","1433G_MOUSE",3.03384823974962,3.23834341208754,2.98382189189724,2.5154228842312,2.88730436379474,2.78400740643445,2.88962790071663,2.91045853931094,2.5605574665565,3.08159988827617,2.90665090268557,2.97691262503602,2.9428591069914,2.86784955256419,2.88143022063856,0.305488500117976,0.0568560092030436,0.22566951685063,0.87973778702281,0.947626014334309,NA,0.670834185584594,1.67606424806759,0.424921344696862,-1.87757195311578,-0.049526632220951,-0.557300022245005,-0.0381048996760098,0.0642915720662118,-1.65570540002165,0.905565363260914,0.0455745003667903,0.390957693236456,0.660295260441792,0.881179133697793,-0.0750095544272131,0.758227469586422,0.946612410456016,-0.0614288863528394,0.913686269576433,0.977474198774047,0.0135806680743737,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P61982|1433G_MOUSE","sp|P61982|1433G_MOUSE","25","17","16","14-3-3 protein gamma",1,25,17,16
"5","1433S_MOUSE",2.31402138271833,2.47900724668646,3.42991426499931,1.91514097726498,2.38901926822053,2.48312319276424,2.2453595135106,2.95308544676911,-4.57040436944498,2.14682852875463,2.28224220522623,3.04507999541772,2.53452096791727,2.51764685531612,0.725936589988397,0.64214810586491,0.306313620805054,3.55296471336214,0.409583642920463,0.795466368315593,NA,0.185674089328393,0.264629397982858,0.719693579403226,-0.00521332836499109,0.221564929039377,0.266599116994903,0.15281540104019,0.491503323503592,-3.10892307855872,0.105662607907928,0.170465909019328,0.535528052703922,0.96428992781357,0.984474082887252,-0.0168741126011467,0.386125487994697,0.844326366312773,-1.80858437792887,0.388021665974547,0.849800198774195,-1.79171026532772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"sp|O70456|1433S_MOUSE","sp|O70456|1433S_MOUSE","12","8","8","14-3-3 protein sigma",1,12,8,8
"6","1433T_MOUSE",2.61984707844312,2.4006075170565,2.84693138939682,2.25570634275756,3.13094295913329,2.62531468226678,2.75978111355405,2.98278229039371,1.70447878270567,2.43363849122491,2.56876043837796,2.65782963588886,2.5307730819135,2.87470526133696,2.34117683704935,0.258518237598371,0.225641029553793,0.434356558794923,0.108957586242016,0.733765936077016,NA,0.101749214654398,-0.49108184458739,0.71579273740382,-0.882899434906027,1.48376945957433,0.1165337970801,0.48013549555241,1.08313808797635,-2.37343707438139,-0.401764992828523,-0.0363907576725849,0.204455312134517,0.0927068965264141,0.790992442281521,0.34393217942346,0.487657262583875,0.861008694535009,-0.189596244864147,0.0870413202779345,0.848403079736876,-0.533528424287606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P68254|1433T_MOUSE","sp|P68254|1433T_MOUSE","21","16","16","14-3-3 protein theta",1,21,16,16
"7","1433Z_MOUSE",5.71448288015238,5.59604717720497,5.70736897093393,5.4149692220241,5.84313083540924,5.70709817611727,5.58543653390761,5.7699443917062,5.43811764447639,5.54559312741705,5.64044302088464,5.58671328785629,5.60821706257885,5.72640248428508,5.55271677015859,0.139781208684755,0.109187088885231,0.0857036836529485,0.142955209182311,0.751192646907741,NA,0.668544546072176,-0.258933783012552,0.612835022077415,-1.67696800010833,1.675995742058,0.610714408800919,-0.342026477791513,1.10286754821023,-1.49569107395606,-0.654042999476026,0.0887331948463866,-0.332028127720532,0.233719945143294,0.790992442281521,0.118185421706237,0.528601353955485,0.861008694535009,-0.0555002924202554,0.048587085899658,0.848403079736876,-0.173685714126492,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|P63101|1433Z_MOUSE","sp|P63101|1433Z_MOUSE","33","33","24","14-3-3 protein zeta/delta",1,33,33,24
"8","2AAA_MOUSE",2.09277546373728,2.28886995812303,2.28000474337254,1.86692598553478,1.84896224285118,2.00473304255752,2.26751900702305,2.34596375336638,1.3487906124886,2.36451440352663,2.15215653957515,2.4593411491033,2.13214403769191,2.11679451144953,2.08120067617342,0.198591962093636,0.230599444867365,0.504881544296047,0.976753219420893,0.988474258053944,NA,-0.0559534329642182,0.579342454795015,0.550621431837557,-0.787647839806533,-0.845845760617127,-0.341188305565197,0.510170847116511,0.764311713867235,-2.46627361066225,0.824411064432806,0.136426028828873,1.13162540873733,0.923006047099616,0.977285252523261,-0.0153495262423755,0.860384793462141,0.975243806663475,-0.0509433615184864,0.90385705457404,0.974428607324683,-0.0355938352761109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q76MZ3|2AAA_MOUSE","sp|Q76MZ3|2AAA_MOUSE","32","32","25","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",1,32,32,25
"9","2AAB_MOUSE",-3.27154256115803,-2.16924809127445,-2.3447631669989,-2.97296567134987,-3.68941476930493,-2.71996207377452,-1.98259425376738,-4.03450776712414,-4.89422545406698,-2.38011072177809,-2.7786880348807,-1.67985429496646,-2.68962987269531,-3.10661971599275,-2.93321962642306,0.519176204810968,0.933374466048553,1.38398915980014,0.844440667556799,0.9314157553869,NA,-0.388830882733275,0.796082134819139,0.607411953044068,-0.0678752278333929,-0.838023210767852,0.204091351375046,0.996725944509667,-1.20898142252896,-2.13313618018299,0.569415048459275,0.140963795459488,1.32215669637979,NA,NA,NA,0.758955114216833,0.946612410456016,-0.243589753727749,0.843228331839622,0.96378437032492,0.173400089569686,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"sp|Q7TNP2|2AAB_MOUSE","sp|Q7TNP2|2AAB_MOUSE","11","4","4","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",1,11,4,4
"10","2ABA_MOUSE",-1.62694222252717,-1.63247449638616,-1.57428501673123,-1.71400407078037,-2.38126311298537,-1.56509554232518,-1.91265130220307,-1.08855439770913,-2.25047724762478,-1.46419313064015,-1.70392026647873,-1.35498792806652,-1.63692645160623,-1.73689108880569,-1.69339464320254,0.0576900149544575,0.546492187492642,0.398958751044624,0.937158046737355,0.973729076859152,NA,0.173929656299916,0.158441974992958,0.321344271459955,-0.0698012569031891,-1.93780267156046,0.347070339005983,-0.625917076763966,1.68115421944847,-1.57166573514155,0.629548111277321,-0.0415714997786629,0.935269667663218,0.739632280610619,0.909817997549479,-0.0999646371994531,0.79687869246167,0.957539719167652,-0.056468191596311,0.902277552838531,0.974428607324683,0.0434964456031421,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"sp|Q6P1F6|2ABA_MOUSE;sp|Q925E7|2ABD_MOUSE;sp|Q6ZWR4|2ABB_MOUSE;sp|Q8BG02|2ABG_MOUSE","sp|Q6P1F6|2ABA_MOUSE","7;3;2;1","7;3;2;1","7;3;2;1","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",4,7,7,7
