"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"100","sp|A0A1L1SUL6|TXND6_MOUSE","sp|A0A1L1SUL6|TXND6_MOUSE","2","2","2","Thioredoxin domain-containing protein 6",1,2,2,2
"101","sp|A1IGU4|ARH37_MOUSE","sp|A1IGU4|ARH37_MOUSE","2","2","2","Rho guanine nucleotide exchange factor 37",1,2,2,2
"102","sp|A1L314|MPEG1_MOUSE","sp|A1L314|MPEG1_MOUSE","6","6","6","Macrophage-expressed gene 1 protein",1,6,6,6
"103","sp|A2A5R2|BIG2_MOUSE","sp|A2A5R2|BIG2_MOUSE","5","5","3","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1,5,5,3
"104","sp|A2A8Z1|OSBL9_MOUSE","sp|A2A8Z1|OSBL9_MOUSE","3","3","3","Oxysterol-binding protein-related protein 9",1,3,3,3
"105","sp|A2A935|PRD16_MOUSE;sp|P14404|MECOM_MOUSE","sp|A2A935|PRD16_MOUSE;sp|P14404|MECOM_MOUSE","2;1","2;1","2;1","Histone-lysine N-methyltransferase PRDM16;Histone-lysine N-methyltransferase MECOM",2,2,2,2
"106","sp|A2AAJ9|OBSCN_MOUSE","sp|A2AAJ9|OBSCN_MOUSE","2","2","2","Obscurin",1,2,2,2
"107","sp|A2AC93|DNAI2_MOUSE","sp|A2AC93|DNAI2_MOUSE","3","3","3","Dynein axonemal intermediate chain 2",1,3,3,3
"108","sp|A2ADY9|DDI2_MOUSE","sp|A2ADY9|DDI2_MOUSE","8","8","8","Protein DDI1 homolog 2",1,8,8,8
"109","sp|A2AF47|DOC11_MOUSE;sp|Q8BIK4|DOCK9_MOUSE","sp|A2AF47|DOC11_MOUSE","4;1","4;1","4;1","Dedicator of cytokinesis protein 11",2,4,4,4
"110","sp|A2AGB2|CA087_MOUSE","sp|A2AGB2|CA087_MOUSE","2","2","2","Uncharacterized protein C1orf87 homolog",1,2,2,2
"111","sp|A2AGT5|CKAP5_MOUSE","sp|A2AGT5|CKAP5_MOUSE","4","4","4","Cytoskeleton-associated protein 5",1,4,4,4
"112","sp|A2AIP0|F166B_MOUSE","sp|A2AIP0|F166B_MOUSE","3","3","3","Protein FAM166B",1,3,3,3
"113","sp|A2AIV2|VIR_MOUSE","sp|A2AIV2|VIR_MOUSE","2","2","2","Protein virilizer homolog",1,2,2,2
"114","sp|A2AJI0|MA7D1_MOUSE","sp|A2AJI0|MA7D1_MOUSE","4","4","4","MAP7 domain-containing protein 1",1,4,4,4
"115","sp|A2AL36|CNTRL_MOUSE","sp|A2AL36|CNTRL_MOUSE","5","5","5","Centriolin",1,5,5,5
"116","sp|A2AN08|UBR4_MOUSE","sp|A2AN08|UBR4_MOUSE","14","14","14","E3 ubiquitin-protein ligase UBR4",1,14,14,14
"117","sp|A2ARA8|ITA8_MOUSE","sp|A2ARA8|ITA8_MOUSE","2","2","2","Integrin alpha-8",1,2,2,2
"118","sp|A2ASQ1|AGRIN_MOUSE","sp|A2ASQ1|AGRIN_MOUSE","2","2","2","Agrin",1,2,2,2
"119","sp|A2ASS6|TITIN_MOUSE","sp|A2ASS6|TITIN_MOUSE","5","5","5","Titin",1,5,5,5
"120","sp|A2BH40|ARI1A_MOUSE","sp|A2BH40|ARI1A_MOUSE","3","3","3","AT-rich interactive domain-containing protein 1A",1,3,3,3
"121","sp|A3KGV1|ODFP2_MOUSE","sp|A3KGV1|ODFP2_MOUSE","23","23","23","Outer dense fiber protein 2",1,23,23,23
"122","sp|A3KMP2|TTC38_MOUSE","sp|A3KMP2|TTC38_MOUSE","6","6","6","Tetratricopeptide repeat protein 38",1,6,6,6
"123","sp|A6H8H2|DEN4C_MOUSE","sp|A6H8H2|DEN4C_MOUSE","4","4","4","DENN domain-containing protein 4C",1,4,4,4
"124","sp|B1AZI6|THOC2_MOUSE","sp|B1AZI6|THOC2_MOUSE","5","5","5","THO complex subunit 2",1,5,5,5
"125","sp|B2RQC6|PYR1_MOUSE","sp|B2RQC6|PYR1_MOUSE","12","12","12","CAD protein",1,12,12,12
"126","sp|B2RXR6|ANR44_MOUSE","sp|B2RXR6|ANR44_MOUSE","7","7","7","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B",1,7,7,7
"127","sp|B2RXS4|PLXB2_MOUSE","sp|B2RXS4|PLXB2_MOUSE","5","5","5","Plexin-B2",1,5,5,5
"128","sp|B2RY50|ODAD2_MOUSE","sp|B2RY50|ODAD2_MOUSE","2","2","2","Outer dynein arm-docking complex subunit 2",1,2,2,2
"129","sp|B2RY56|RBM25_MOUSE","sp|B2RY56|RBM25_MOUSE","8","8","8","RNA-binding protein 25",1,8,8,8
"130","sp|B7ZMP1|XPP3_MOUSE","sp|B7ZMP1|XPP3_MOUSE","3","3","3","Xaa-Pro aminopeptidase 3",1,3,3,3
"131","sp|B9EJ86|OSBL8_MOUSE","sp|B9EJ86|OSBL8_MOUSE","4","4","4","Oxysterol-binding protein-related protein 8",1,4,4,4
"132","sp|C0HKG6|RNT2B_MOUSE;sp|C0HKG5|RNT2A_MOUSE","sp|C0HKG6|RNT2B_MOUSE;sp|C0HKG5|RNT2A_MOUSE","3;3","3;3","3;3","Ribonuclease T2-B;Ribonuclease T2-A",2,3,3,3
"133","sp|D3YXK2|SAFB1_MOUSE","sp|D3YXK2|SAFB1_MOUSE","9","9","7","Scaffold attachment factor B1",1,9,9,7
"134","sp|D3Z5T1|CCD78_MOUSE","sp|D3Z5T1|CCD78_MOUSE","2","2","2","Coiled-coil domain-containing protein 78",1,2,2,2
"135","sp|D3Z6Q9|BIN2_MOUSE;sp|Q7TQF7|AMPH_MOUSE","sp|D3Z6Q9|BIN2_MOUSE","18;1","18;1","17;0","Bridging integrator 2",2,18,18,17
